2018-19,,,,,2017-18,,,,,2016-17,,,
2-hourly mean daily temperature,,,,,2-hourly mean daily temperature,,,,,2-hourly mean daily temperature,,,
Date,Min,Mean,Max,,Date,Min,Mean,Max,,Date,Min,Mean,Max
14/01/2019,18.668,20.54,23.362,,14/01/2018,16.284,17.663,19.353,,14/01/2017,14.899,16.377,17.769
15/01/2019,19.366,22.024,24.483,,15/01/2018,17.411,18.532,20.814,,15/01/2017,15.973,16.606,18.08
16/01/2019,19.357,22.046,25.163,,16/01/2018,16.268,18.706,22.805,,16/01/2017,16.347,18.056,19.05
17/01/2019,19.226,20.858,22.476,,17/01/2018,17.356,19.5,22.543,,17/01/2017,16.918,18.388,19.522
18/01/2019,19.151,20.999,22.826,,18/01/2018,17.435,19.629,23.206,,18/01/2017,16.129,17.253,18.465
19/01/2019,17.878,19.55,23.709,,19/01/2018,18.41,20.201,22.542,,19/01/2017,16.697,17.618,19.014
20/01/2019,18.31,19.291,21.37,,20/01/2018,18.307,20.218,22.941,,20/01/2017,16.053,16.662,17.036
21/01/2019,18.99,20.473,23.932,,21/01/2018,18.957,20.748,23.406,,21/01/2017,16.27,17.467,18.41
22/01/2019,19.414,21.068,24.785,,22/01/2018,19.322,21.174,23.526,,22/01/2017,17.924,19.852,21.504
23/01/2019,18.77,21.042,24.718,,23/01/2018,19.797,20.923,22.477,,23/01/2017,18.778,20.801,23.156
24/01/2019,17.191,19.894,22.478,,24/01/2018,19.107,21.337,24.703,,24/01/2017,16.49,19.086,20.825
25/01/2019,18.134,19.817,21.096,,25/01/2018,20.043,22.398,24.958,,25/01/2017,16.848,18.521,20.788
26/01/2019,18.079,19.241,20.736,,26/01/2018,20.091,21.917,23.485,,26/01/2017,17.038,18.579,20.781
27/01/2019,17.663,18.962,20.394,,27/01/2018,19.266,22.389,26.521,,27/01/2017,17.877,19.519,22.825
28/01/2019,17.497,18.732,20.082,,28/01/2018,20.504,23.86,28.405,,28/01/2017,16.872,19.049,22.142
29/01/2019,19.174,20.144,21.472,,29/01/2018,20.171,22.699,25.993,,29/01/2017,17.43,19.338,21.921
30/01/2019,19.311,20.991,22.434,,30/01/2018,18.482,19.421,20.369,,30/01/2017,16.386,18.115,19.488
31/01/2019,18.039,19.841,22.545,,31/01/2018,16.371,17.798,18.814,,31/01/2017,15.921,17.238,18.679
1/02/2019,16.225,17.641,18.932,,1/02/2018,16.284,17.822,19.369,,1/02/2017,15.691,16.503,17.373
2/02/2019,17.682,18.481,19.879,,2/02/2018,17.348,18.279,19.218,,2/02/2017,16.131,17.397,18.294
3/02/2019,18.649,19.972,22.582,,3/02/2018,17.316,19.08,21.124,,3/02/2017,16.441,16.921,17.322
4/02/2019,18.797,20.423,23.433,,4/02/2018,18.45,19.6,21.195,,4/02/2017,17.137,18.642,19.822
5/02/2019,17.546,20.018,23.732,,5/02/2018,18.228,19.555,21.466,,5/02/2017,16.781,17.937,18.892
6/02/2019,17.745,18.576,19.53,,6/02/2018,18.687,20.656,24.029,,6/02/2017,16.967,17.886,19.217
7/02/2019,19.155,20.082,22.48,,7/02/2018,20.028,21.836,24.201,,7/02/2017,17.073,18.678,20.793
8/02/2019,18.2,19.916,22.702,,8/02/2018,20.385,21.619,22.861,,8/02/2017,17.568,18.85,21.828
9/02/2019,17.131,18.8,21.26,,9/02/2018,19.9,21.765,24.517,,9/02/2017,17.091,18.261,20.113
10/02/2019,15.817,17.582,19.014,,10/02/2018,20.02,21.467,23.3,,10/02/2017,17.484,18.259,19.728
11/02/2019,17.524,18.184,18.78,,11/02/2018,18.347,19.521,21.283,,11/02/2017,15.902,17.295,18.389
12/02/2019,17.669,18.708,19.719,,12/02/2018,17.015,18.503,20.584,,12/02/2017,15.327,16.322,17.168
13/02/2019,15.463,16.986,18.15,,13/02/2018,18.093,19.877,23.256,,13/02/2017,14.43,15.644,16.767
14/02/2019,15.983,17.101,18.08,,14/02/2018,17.855,18.823,20.059,,14/02/2017,15.643,16.488,17.278
15/02/2019,16.445,17.528,19.369,,15/02/2018,16.443,16.996,17.522,,15/02/2017,15.835,16.659,17.479
16/02/2019,17.692,18.798,20.86,,16/02/2018,15.29,15.966,16.872,,16/02/2017,16.423,17.73,18.743
17/02/2019,18.114,19.339,22.057,,17/02/2018,15.107,16.095,17.371,,17/02/2017,16.77,17.565,18.656
18/02/2019,18.218,19.383,21.988,,18/02/2018,15.863,16.739,17.506,,18/02/2017,16.351,17.393,18.242
19/02/2019,16.826,18.404,21.945,,19/02/2018,14.852,15.711,16.8,,19/02/2017,16.538,17.239,17.98
20/02/2019,16.378,17.544,18.889,,20/02/2018,14.804,16.726,18.878,,20/02/2017,15.335,16.292,17.039
21/02/2019,15.63,16.998,17.649,,21/02/2018,15.688,17.291,18.91,,21/02/2017,15.595,17.004,17.746
22/02/2019,15.516,17.04,18.631,,22/02/2018,17.158,19.12,21.801,,22/02/2017,17.227,18.149,19.347
23/02/2019,16.225,18.078,19.769,,23/02/2018,18.862,19.402,20.115,,23/02/2017,16.911,18.577,20.481
24/02/2019,15.809,17.614,19.452,,24/02/2018,18.473,19.131,19.813,,24/02/2017,16.275,18.005,20.333
25/02/2019,15.951,18.264,20.499,,25/02/2018,16.61,17.593,18.886,,25/02/2017,16.47,17.717,19.565
26/02/2019,17.39,18.377,19.934,,26/02/2018,16.324,18.253,22.423,,26/02/2017,17.158,18.356,20.167
27/02/2019,15.638,17.559,19.233,,27/02/2018,17.134,18.476,21.781,,27/02/2017,17.763,19.031,21.327
28/02/2019,16.67,18.133,19.145,,28/02/2018,17.807,18.578,19.893,,28/02/2017,17.535,19.208,21.139
1/03/2019,17.77,18.922,22.291,,1/03/2018,17.395,18.363,20.163,,1/03/2017,18.618,19.91,21.59
2/03/2019,18.191,20.242,23.343,,2/03/2018,17.482,19.051,22.098,,2/03/2017,18.253,19.609,21.228
3/03/2019,18.372,20.675,24.513,,3/03/2018,18.085,19.489,21.267,,3/03/2017,18.017,19.062,20.235
4/03/2019,17.776,19.254,22.014,,4/03/2018,17.53,18.532,19.314,,4/03/2017,18.331,19.23,20.433
5/03/2019,17.91,19.211,22.35,,5/03/2018,16.777,17.614,18.474,,5/03/2017,17.933,18.885,19.827
6/03/2019,17.33,18.756,21.16,,6/03/2018,16.3,18.037,20.195,,6/03/2017,17.482,18.119,18.58
7/03/2019,14.984,16.527,17.722,,7/03/2018,17.427,19.182,21.251,,7/03/2017,17.05,18.301,19.533
8/03/2019,16.095,17.203,18.334,,8/03/2018,18.774,19.24,19.821,,8/03/2017,17.585,18.523,19.674
9/03/2019,15.223,16.514,17.81,,9/03/2018,18.771,19.431,20.739,,9/03/2017,17.965,18.582,19.791
10/03/2019,16.677,17.438,18.324,,10/03/2018,18.767,19.621,21.657,,10/03/2017,17.884,18.834,20.723
11/03/2019,15.783,17.399,18.524,,11/03/2018,19.004,20.682,22.551,,11/03/2017,17.841,18.571,19.876
12/03/2019,16.093,17.677,18.979,,12/03/2018,17.657,19.314,21.92,,12/03/2017,17.935,18.396,19.061
13/03/2019,14.716,16.276,17.647,,13/03/2018,17.062,18.239,20.044,,13/03/2017,18.401,19.401,20.682
14/03/2019,14.962,16.603,18.091,,14/03/2018,17.594,18.387,19.742,,14/03/2017,19.427,20.906,22.574
15/03/2019,16.867,17.659,18.316,,15/03/2018,17.681,18.833,20.568,,15/03/2017,19.754,20.797,21.806
16/03/2019,16.995,18.139,20.672,,16/03/2018,16.046,17.197,18.315,,16/03/2017,17.402,19.02,20.78
17/03/2019,17.019,18.485,20.988,,17/03/2018,16.967,17.755,18.933,,17/03/2017,16.881,18.348,19.667
18/03/2019,17.713,19.048,21.578,,18/03/2018,17.958,18.894,21.144,,18/03/2017,17.003,18.361,20.127
19/03/2019,17.564,18.577,21.481,,19/03/2018,16.229,17.526,18.79,,19/03/2017,17.377,19.163,19.926
20/03/2019,18.05,19.733,22.313,,20/03/2018,13.478,15.287,16.761,,20/03/2017,17.764,18.425,19.123
21/03/2019,18.172,19.13,20.387,,21/03/2018,12.363,14.265,16.101,,21/03/2017,17.026,17.648,18.045
22/03/2019,17.753,18.563,19.733,,22/03/2018,16.976,18.71,20.346,,22/03/2017,16.378,17.046,17.737
23/03/2019,17.716,18.217,18.888,,23/03/2018,17.25,18.743,21.111,,23/03/2017,17.051,17.572,18.099
24/03/2019,17.569,18.674,20.472,,24/03/2018,13.334,16.323,19.21,,24/03/2017,16.202,17.508,18.742
25/03/2019,15.843,17.337,19.225,,25/03/2018,13.9,16.097,17.722,,25/03/2017,16.462,17.257,17.921
26/03/2019,12.869,14.846,16.347,,26/03/2018,15.612,17.019,20.009,,26/03/2017,17.227,18.099,19.062
27/03/2019,12.058,15.356,17.581,,27/03/2018,16.787,18.6,20.63,,27/03/2017,16.569,17.601,18.576
28/03/2019,14.865,16.742,17.502,,28/03/2018,17.144,19.142,21.361,,28/03/2017,16.229,17.029,17.767
29/03/2019,16.054,16.625,17.136,,29/03/2018,13.634,16.742,19.113,,29/03/2017,15.408,16.544,17.317
30/03/2019,14.665,15.753,16.829,,30/03/2018,13.197,15.979,17.684,,30/03/2017,14.137,15.754,17.291
31/03/2019,13.321,14.378,15.491,,31/03/2018,14.593,16.159,16.88,,31/03/2017,14.489,15.931,17.293
1/04/2019,13.321,14.955,16.199,,1/04/2018,14.864,15.836,16.424,,1/04/2017,13.006,15.107,16.766
2/04/2019,13.895,15.432,16.363,,2/04/2018,14.485,15.419,16.346,,2/04/2017,13.65,15.064,16.493
3/04/2019,13.466,14.93,15.843,,3/04/2018,15.049,15.733,16.786,,3/04/2017,14.447,15.834,16.912
4/04/2019,12.874,14.637,16.302,,4/04/2018,15.409,16.847,17.666,,4/04/2017,15.53,16.252,16.877
5/04/2019,13.625,15.003,15.749,,5/04/2018,16.1,16.853,17.544,,5/04/2017,15.828,16.535,17.318
6/04/2019,14.345,15.55,16.437,,6/04/2018,15.292,15.94,16.531,,6/04/2017,15.943,16.55,17.278
7/04/2019,13.937,15.243,16.14,,7/04/2018,15.247,15.918,16.561,,7/04/2017,15.663,16.382,17.064
8/04/2019,13.159,14.59,15.403,,8/04/2018,15.11,15.808,16.257,,8/04/2017,15.604,16.126,16.659
9/04/2019,12.259,13.442,14.471,,9/04/2018,13.81,14.975,16.093,,9/04/2017,14.832,15.528,16.211
10/04/2019,11.469,14.109,15.628,,10/04/2018,14.665,15.327,16.061,,10/04/2017,14.259,14.84,15.735
11/04/2019,12.355,14.642,16,,11/04/2018,14.209,14.737,15.468,,11/04/2017,13.756,14.537,15.522
12/04/2019,13.269,14.985,16.545,,12/04/2018,13.789,14.56,15.422,,12/04/2017,14.178,15.184,16.29
13/04/2019,14.316,15.024,15.762,,13/04/2018,14.193,15.108,15.833,,13/04/2017,14.56,15.604,16.598
14/04/2019,14.334,15.439,16.85,,14/04/2018,12.49,13.749,14.948,,14/04/2017,13.394,14.964,16.105
15/04/2019,14.341,15.518,17.146,,15/04/2018,11.68,12.579,14.206,,15/04/2017,13.955,15.182,16.105
16/04/2019,14.657,16.039,17.795,,16/04/2018,10.293,11.939,14.056,,16/04/2017,13.926,15.095,15.888
17/04/2019,15.581,16.4,18.299,,17/04/2018,10.333,12.128,14.403,,17/04/2017,13.689,14.995,16.086
18/04/2019,14.006,15.124,15.98,,18/04/2018,11.732,13.43,15.203,,18/04/2017,13.92,15.127,15.911
19/04/2019,13.15,14.711,16.349,,19/04/2018,12.621,14.033,15.244,,19/04/2017,15.026,15.85,16.672
20/04/2019,13.168,15.195,16.55,,20/04/2018,13.615,14.637,15.755,,20/04/2017,15.749,16.007,16.338
21/04/2019,14.7,16.211,17.916,,21/04/2018,13.967,14.851,15.612,,21/04/2017,15.985,16.66,17.59
22/04/2019,14.81,15.849,17.063,,22/04/2018,15.14,15.357,15.919,,22/04/2017,15.707,16.38,17.431
23/04/2019,13.802,15.463,16.647,,23/04/2018,14.841,15.558,16.021,,23/04/2017,15.384,15.818,16.539
24/04/2019,14.703,15.324,16.08,,24/04/2018,14.733,15.171,15.429,,24/04/2017,15.666,15.902,16.194
25/04/2019,13.875,14.682,15.575,,25/04/2018,14.574,15.254,15.937,,25/04/2017,14.926,15.645,16.154
26/04/2019,12.044,12.972,14.474,,26/04/2018,13.549,14.759,15.15,,26/04/2017,11.714,13.702,14.96
27/04/2019,10.731,12.532,14.256,,27/04/2018,13.567,14.157,14.867,,27/04/2017,11.932,13.222,14.939
28/04/2019,11.351,12.485,13.961,,28/04/2018,13.302,14.214,14.876,,28/04/2017,13.016,13.961,15.014
29/04/2019,11.207,13.042,14.427,,29/04/2018,13.74,14.536,15.098,,29/04/2017,13.017,14.475,15.436
30/04/2019,12.238,13.409,14.362,,30/04/2018,12.46,13.867,14.287,,30/04/2017,13.59,14.69,15.574
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
,,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,
