2018-19,,,,,2017-18,,,,,2016-17,,,,,,
Yield Temperature Data,,,,,Yield Temperature Data,,,,,Yield Temperature Data,,,,,,
Upper,,Lower,,,Upper,,Lower,,,Upper,,Lower,,,,
2018/11/1 1:50,16.4543,2018/11/1 1:50,15.3177,,2017/11/1 1:50,17.0538,2017/11/1 1:50,17.1269,,2016/11/1 1:50,14.9683,2016/11/1 2:50,13.9946,,,
2018/11/1 2:00,16.2364,2018/11/1 2:00,15.5544,,2017/11/1 2:00,17.1424,2017/11/1 2:00,17.3896,,2016/11/1 2:00,14.9381,2016/11/1 3:50,14.6398,,,
2018/11/1 2:10,15.7714,2018/11/1 2:10,15.682,,2017/11/1 2:10,17.1787,2017/11/1 2:10,17.5318,,2016/11/1 2:10,14.9217,2016/11/1 4:00,14.462,,,
2018/11/1 2:20,15.6783,2018/11/1 2:20,15.6903,,2017/11/1 2:20,17.2535,2017/11/1 2:20,17.6632,,2016/11/1 2:20,14.898,2016/11/1 4:10,14.2173,,,
2018/11/1 2:30,15.6621,2018/11/1 2:30,15.821,,2017/11/1 2:30,17.2957,2017/11/1 2:30,17.7499,,2016/11/1 2:30,14.8788,2016/11/1 4:20,14.1351,,,
2018/11/1 2:40,16.3593,2018/11/1 2:40,15.9264,,2017/11/1 2:40,17.3105,2017/11/1 2:40,17.7768,,2016/11/1 2:40,14.8484,2016/11/1 4:30,14.4237,,,
2018/11/1 2:50,16.1599,2018/11/1 2:50,16.0407,,2017/11/1 2:50,17.3335,2017/11/1 2:50,17.7839,,2016/11/1 2:50,14.8654,2016/11/1 4:40,14.4107,,,
2018/11/1 3:00,15.7083,2018/11/1 3:00,16.1458,,2017/11/1 3:00,17.1742,2017/11/1 3:00,17.7859,,2016/11/1 3:00,14.8982,2016/11/1 4:50,14.5921,,,
2018/11/1 3:10,15.3297,2018/11/1 3:10,16.2512,,2017/11/1 3:10,17.0418,2017/11/1 3:10,17.8178,,2016/11/1 3:10,14.9675,2016/11/1 6:00,15.3531,,,
2018/11/1 3:20,15.2141,2018/11/1 3:20,16.3126,,2017/11/1 3:20,16.908,2017/11/1 3:20,17.8501,,2016/11/1 3:20,15.1056,2016/11/1 6:10,15.2666,,,
2018/11/1 3:30,15.402,2018/11/1 3:30,16.3183,,2017/11/1 3:30,16.8325,2017/11/1 3:30,17.9112,,2016/11/1 3:30,15.1818,2016/11/1 6:20,15.397,,,
2018/11/1 3:40,15.6151,2018/11/1 3:40,16.3347,,2017/11/1 3:40,16.9381,2017/11/1 3:40,17.9218,,2016/11/1 3:40,15.3569,2016/11/1 6:30,15.4965,,,
2018/11/1 3:50,15.2528,2018/11/1 3:50,16.3763,,2017/11/1 3:50,16.9386,2017/11/1 3:50,17.8842,,2016/11/1 3:50,15.3802,2016/11/1 6:40,15.3299,,,
2018/11/1 4:00,15.1855,2018/11/1 4:00,16.3759,,2017/11/1 4:00,17.0905,2017/11/1 4:00,17.8144,,2016/11/1 4:00,15.4056,2016/11/1 6:50,15.3653,,,
2018/11/1 4:10,15.3534,2018/11/1 4:10,16.3555,,2017/11/1 4:10,17.0809,2017/11/1 4:10,17.8085,,2016/11/1 4:10,15.4291,2016/11/1 7:00,15.3716,,,
2018/11/1 4:20,15.9675,2018/11/1 4:20,16.4036,,2017/11/1 4:20,17.0653,2017/11/1 4:20,17.6707,,2016/11/1 4:20,15.4854,2016/11/1 7:10,15.2759,,,
2018/11/1 4:30,16.0757,2018/11/1 4:30,16.4795,,2017/11/1 4:30,17.0436,2017/11/1 4:30,17.5688,,2016/11/1 4:30,15.5768,2016/11/1 7:20,15.254,,,
2018/11/1 4:40,17.3124,2018/11/1 4:40,16.5136,,2017/11/1 4:40,16.9549,2017/11/1 4:40,17.5775,,2016/11/1 4:40,15.6501,2016/11/1 7:30,15.1924,,,
2018/11/1 4:50,18.5313,2018/11/1 4:50,16.5443,,2017/11/1 4:50,16.8261,2017/11/1 4:50,17.5425,,2016/11/1 4:50,15.6756,2016/11/1 7:40,15.1398,,,
2018/11/1 5:00,18.8674,2018/11/1 5:00,16.5487,,2017/11/1 5:00,16.814,2017/11/1 5:00,17.2079,,2016/11/1 5:00,15.668,2016/11/1 7:50,15.1061,,,
2018/11/1 5:10,19.0216,2018/11/1 5:10,16.5825,,2017/11/1 5:10,16.8413,2017/11/1 5:10,17.1337,,2016/11/1 5:10,15.6298,2016/11/1 8:00,15.252,,,
2018/11/1 5:20,19.1033,2018/11/1 5:20,16.5957,,2017/11/1 5:20,16.8111,2017/11/1 5:20,17.0641,,2016/11/1 5:20,15.6275,2016/11/1 8:10,15.3316,,,
2018/11/1 5:30,19.1038,2018/11/1 5:30,16.6045,,2017/11/1 5:30,16.8577,2017/11/1 5:30,16.9861,,2016/11/1 5:30,15.6425,2016/11/1 8:20,14.8777,,,
2018/11/1 5:40,19.0425,2018/11/1 5:40,16.6433,,2017/11/1 5:40,16.8504,2017/11/1 5:40,16.9719,,2016/11/1 5:40,15.5896,2016/11/1 8:30,15.2296,,,
2018/11/1 5:50,18.8211,2018/11/1 5:50,16.702,,2017/11/1 5:50,16.8429,2017/11/1 5:50,16.9836,,2016/11/1 5:50,15.6786,2016/11/1 8:40,15.3911,,,
2018/11/1 6:00,18.5445,2018/11/1 6:00,16.713,,2017/11/1 6:00,16.8769,2017/11/1 6:00,17.0169,,2016/11/1 6:00,15.6435,2016/11/1 8:50,15.4277,,,
2018/11/1 6:10,18.2701,2018/11/1 6:10,16.7167,,2017/11/1 6:10,16.8764,2017/11/1 6:10,17.0591,,2016/11/1 6:10,15.439,2016/11/1 9:00,15.3651,,,
2018/11/1 6:20,17.988,2018/11/1 6:20,16.7566,,2017/11/1 6:20,16.7106,2017/11/1 6:20,17.0882,,2016/11/1 6:20,15.1857,2016/11/1 9:10,15.2704,,,
2018/11/1 6:30,17.7309,2018/11/1 6:30,16.8378,,2017/11/1 6:30,16.4305,2017/11/1 6:30,17.0859,,2016/11/1 6:30,15.0432,2016/11/1 9:20,15.1636,,,
2018/11/1 6:40,17.22,2018/11/1 6:40,16.9078,,2017/11/1 6:40,16.2654,2017/11/1 6:40,17.076,,2016/11/1 6:40,14.8296,2016/11/1 9:30,15.1572,,,
2018/11/1 6:50,17.1161,2018/11/1 6:50,16.9579,,2017/11/1 6:50,16.2881,2017/11/1 6:50,17.0937,,2016/11/1 6:50,14.7593,2016/11/1 9:40,15.1821,,,
2018/11/1 7:00,16.8719,2018/11/1 7:00,17.0197,,2017/11/1 7:00,16.1999,2017/11/1 7:00,17.066,,2016/11/1 7:00,14.7704,2016/11/1 9:50,15.1367,,,
2018/11/1 7:10,16.691,2018/11/1 7:10,17.0874,,2017/11/1 7:10,16.1775,2017/11/1 7:10,16.9444,,2016/11/1 7:10,14.9154,2016/11/1 11:00,14.8275,,,
2018/11/1 7:20,16.6288,2018/11/1 7:20,17.1634,,2017/11/1 7:20,16.1547,2017/11/1 7:20,16.872,,2016/11/1 7:20,14.8871,2016/11/1 11:10,14.8036,,,
2018/11/1 7:30,16.6234,2018/11/1 7:30,17.2509,,2017/11/1 7:30,16.3204,2017/11/1 7:30,16.8237,,2016/11/1 7:30,14.8441,2016/11/1 11:20,14.723,,,
2018/11/1 7:40,16.4562,2018/11/1 7:40,17.6535,,2017/11/1 7:40,16.4431,2017/11/1 7:40,16.7431,,2016/11/1 7:40,14.8145,2016/11/1 11:30,14.6618,,,
2018/11/1 7:50,16.37,2018/11/1 7:50,17.8403,,2017/11/1 7:50,16.4531,2017/11/1 7:50,16.686,,2016/11/1 7:50,14.7498,2016/11/1 11:40,14.6264,,,
2018/11/1 8:00,16.3199,2018/11/1 8:00,17.7554,,2017/11/1 8:00,16.5293,2017/11/1 8:00,16.6397,,2016/11/1 8:00,14.6836,2016/11/1 11:50,14.5935,,,
2018/11/1 8:10,16.2711,2018/11/1 8:10,17.7013,,2017/11/1 8:10,16.5548,2017/11/1 8:10,16.6193,,2016/11/1 8:10,14.6438,2016/11/1 12:00,14.5884,,,
2018/11/1 8:20,16.1924,2018/11/1 8:20,17.7618,,2017/11/1 8:20,16.5656,2017/11/1 8:20,16.5917,,2016/11/1 8:20,14.6585,2016/11/1 12:10,14.5389,,,
2018/11/1 8:30,16.1225,2018/11/1 8:30,18.3642,,2017/11/1 8:30,16.5722,2017/11/1 8:30,16.5916,,2016/11/1 8:30,14.6856,2016/11/1 12:20,14.452,,,
2018/11/1 8:40,16.0835,2018/11/1 8:40,18.6031,,2017/11/1 8:40,16.5796,2017/11/1 8:40,16.5897,,2016/11/1 8:40,14.7194,2016/11/1 12:30,14.4062,,,
2018/11/1 8:50,16.0795,2018/11/1 8:50,18.5782,,2017/11/1 8:50,16.5803,2017/11/1 8:50,16.5862,,2016/11/1 8:50,14.6878,2016/11/1 12:40,14.396,,,
2018/11/1 9:00,16.0918,2018/11/1 9:00,18.436,,2017/11/1 9:00,16.5932,2017/11/1 9:00,16.5781,,2016/11/1 9:00,14.6726,2016/11/1 12:50,14.3847,,,
2018/11/1 9:10,16.225,2018/11/1 9:10,18.1267,,2017/11/1 9:10,16.578,2017/11/1 9:10,16.5768,,2016/11/1 9:10,14.7149,2016/11/1 13:00,14.3736,,,
2018/11/1 9:20,16.2668,2018/11/1 9:20,17.7445,,2017/11/1 9:20,16.561,2017/11/1 9:20,16.5564,,2016/11/1 9:20,14.7607,2016/11/1 13:10,14.438,,,
2018/11/1 9:30,16.2445,2018/11/1 9:30,17.5162,,2017/11/1 9:30,16.5385,2017/11/1 9:30,16.5261,,2016/11/1 9:30,14.766,2016/11/1 13:20,14.4702,,,
2018/11/1 9:40,16.2328,2018/11/1 9:40,17.4176,,2017/11/1 9:40,16.4778,2017/11/1 9:40,16.4765,,2016/11/1 9:40,14.7751,2016/11/1 13:30,14.4756,,,
2018/11/1 9:50,16.3036,2018/11/1 9:50,17.3671,,2017/11/1 9:50,16.4281,2017/11/1 9:50,16.4563,,2016/11/1 9:50,14.7708,2016/11/1 13:40,14.4703,,,
2018/11/1 10:00,16.382,2018/11/1 10:00,17.3666,,2017/11/1 10:00,16.4017,2017/11/1 10:00,16.4185,,2016/11/1 10:00,14.7776,2016/11/1 13:50,14.4407,,,
2018/11/1 10:10,16.453,2018/11/1 10:10,17.3866,,2017/11/1 10:10,16.3409,2017/11/1 10:10,16.4002,,2016/11/1 10:10,14.7937,2016/11/1 14:00,14.2862,,,
2018/11/1 10:20,16.502,2018/11/1 10:20,17.4472,,2017/11/1 10:20,16.2453,2017/11/1 10:20,16.4005,,2016/11/1 10:20,14.7522,2016/11/1 14:10,13.8941,,,
2018/11/1 10:30,16.5388,2018/11/1 10:30,17.8698,,2017/11/1 10:30,16.05,2017/11/1 10:30,16.4123,,2016/11/1 10:30,14.6334,2016/11/1 14:20,13.5951,,,
2018/11/1 10:40,16.5465,2018/11/1 10:40,17.7685,,2017/11/1 10:40,16.0124,2017/11/1 10:40,16.4203,,2016/11/1 10:40,14.6118,2016/11/1 14:30,13.3366,,,
2018/11/1 10:50,16.523,2018/11/1 10:50,17.8425,,2017/11/1 10:50,15.9993,2017/11/1 10:50,16.462,,2016/11/1 10:50,14.5809,2016/11/1 14:40,13.1908,,,
2018/11/1 11:00,16.4979,2018/11/1 11:00,18.0977,,2017/11/1 11:00,16.0071,2017/11/1 11:00,16.4839,,2016/11/1 11:00,14.5514,2016/11/1 14:50,13.1134,,,
2018/11/1 11:10,16.493,2018/11/1 11:10,18.1852,,2017/11/1 11:10,15.9999,2017/11/1 11:10,16.4536,,2016/11/1 11:10,14.5917,2016/11/1 17:00,11.536,,,
2018/11/1 11:20,16.4976,2018/11/1 11:20,18.0277,,2017/11/1 11:20,16.0488,2017/11/1 11:20,16.4078,,2016/11/1 11:20,14.4962,2016/11/1 17:10,11.6226,,,
2018/11/1 11:30,16.5036,2018/11/1 11:30,17.8257,,2017/11/1 11:30,16.1347,2017/11/1 11:30,16.3885,,2016/11/1 11:30,14.6684,2016/11/1 17:20,11.6426,,,
2018/11/1 11:40,16.5101,2018/11/1 11:40,17.6777,,2017/11/1 11:40,16.1884,2017/11/1 11:40,16.3613,,2016/11/1 11:40,14.6909,2016/11/1 17:30,11.5959,,,
2018/11/1 11:50,16.5067,2018/11/1 11:50,17.5632,,2017/11/1 11:50,16.2145,2017/11/1 11:50,16.3219,,2016/11/1 11:50,14.655,2016/11/1 17:40,11.5813,,,
2018/11/1 12:00,16.4821,2018/11/1 12:00,17.5047,,2017/11/1 12:00,16.2304,2017/11/1 12:00,16.2759,,2016/11/1 12:00,14.7181,2016/11/1 17:50,11.4956,,,
2018/11/1 12:10,16.4001,2018/11/1 12:10,17.4001,,2017/11/1 12:10,16.2908,2017/11/1 12:10,16.2107,,2016/11/1 12:10,14.7348,2016/11/1 18:00,11.3592,,,
2018/11/1 12:20,16.3273,2018/11/1 12:20,17.5106,,2017/11/1 12:20,16.3032,2017/11/1 12:20,16.1632,,2016/11/1 12:20,14.6726,2016/11/1 18:10,11.2098,,,
2018/11/1 12:30,16.3998,2018/11/1 12:30,17.7956,,2017/11/1 12:30,16.2933,2017/11/1 12:30,16.1461,,2016/11/1 12:30,14.638,2016/11/1 18:20,10.9861,,,
2018/11/1 12:40,16.5427,2018/11/1 12:40,17.9435,,2017/11/1 12:40,16.3433,2017/11/1 12:40,16.1022,,2016/11/1 12:40,14.5889,2016/11/1 18:30,11.256,,,
2018/11/1 12:50,16.6173,2018/11/1 12:50,17.932,,2017/11/1 12:50,16.4587,2017/11/1 12:50,16.032,,2016/11/1 12:50,14.5446,2016/11/1 18:40,11.5418,,,
2018/11/1 13:00,16.6652,2018/11/1 13:00,17.8869,,2017/11/1 13:00,16.5178,2017/11/1 13:00,16.0346,,2016/11/1 13:00,14.5146,2016/11/1 18:50,11.7463,,,
2018/11/1 13:10,16.6889,2018/11/1 13:10,17.812,,2017/11/1 13:10,16.5572,2017/11/1 13:10,16.0309,,2016/11/1 13:10,14.4843,2016/11/1 20:00,12.8508,,,
2018/11/1 13:20,16.789,2018/11/1 13:20,17.7453,,2017/11/1 13:20,16.5818,2017/11/1 13:20,16.1034,,2016/11/1 13:20,14.4974,2016/11/1 20:10,12.877,,,
2018/11/1 13:30,17.0163,2018/11/1 13:30,17.6896,,2017/11/1 13:30,16.5841,2017/11/1 13:30,16.1683,,2016/11/1 13:30,14.4997,2016/11/1 20:20,12.9469,,,
2018/11/1 13:40,17.1187,2018/11/1 13:40,17.6448,,2017/11/1 13:40,16.5656,2017/11/1 13:40,16.186,,2016/11/1 13:40,14.5456,2016/11/1 20:30,13.0555,,,
2018/11/1 13:50,17.1107,2018/11/1 13:50,17.616,,2017/11/1 13:50,16.5265,2017/11/1 13:50,16.1629,,2016/11/1 13:50,14.5382,2016/11/1 20:40,13.2136,,,
2018/11/1 14:00,17.091,2018/11/1 14:00,17.5804,,2017/11/1 14:00,16.4809,2017/11/1 14:00,16.1173,,2016/11/1 14:00,14.5035,2016/11/1 20:50,13.4153,,,
2018/11/1 14:10,17.0336,2018/11/1 14:10,17.5586,,2017/11/1 14:10,16.4191,2017/11/1 14:10,16.0529,,2016/11/1 14:10,14.399,2016/11/1 22:00,13.6595,,,
2018/11/1 14:20,17.0371,2018/11/1 14:20,17.5641,,2017/11/1 14:20,16.3497,2017/11/1 14:20,16.0029,,2016/11/1 14:20,14.4209,2016/11/1 22:10,13.7551,,,
2018/11/1 14:30,16.8878,2018/11/1 14:30,17.5178,,2017/11/1 14:30,16.3081,2017/11/1 14:30,15.9181,,2016/11/1 14:30,14.4175,2016/11/1 22:20,13.8499,,,
2018/11/1 14:40,16.3349,2018/11/1 14:40,17.4492,,2017/11/1 14:40,16.2672,2017/11/1 14:40,15.8618,,2016/11/1 14:40,14.418,2016/11/1 22:30,13.984,,,
2018/11/1 14:50,16.7807,2018/11/1 14:50,17.4624,,2017/11/1 14:50,16.2233,2017/11/1 14:50,15.85,,2016/11/1 14:50,14.3784,2016/11/1 22:40,14.0735,,,
2018/11/1 15:00,16.7577,2018/11/1 15:00,17.5453,,2017/11/1 15:00,16.1721,2017/11/1 15:00,15.7995,,2016/11/1 15:00,14.3451,2016/11/1 22:50,14.1343,,,
2018/11/1 15:10,16.6479,2018/11/1 15:10,17.588,,2017/11/1 15:10,16.1407,2017/11/1 15:10,15.7307,,2016/11/1 15:10,14.3347,2016/11/2 0:00,14.1837,,,
2018/11/1 15:20,16.5682,2018/11/1 15:20,17.5889,,2017/11/1 15:20,16.1035,2017/11/1 15:20,15.6267,,2016/11/1 15:20,14.2993,2016/11/2 0:10,14.1834,,,
2018/11/1 15:30,16.3466,2018/11/1 15:30,17.5916,,2017/11/1 15:30,16.0544,2017/11/1 15:30,15.5949,,2016/11/1 15:30,14.2847,2016/11/2 0:20,14.1855,,,
2018/11/1 15:40,16.3654,2018/11/1 15:40,17.6128,,2017/11/1 15:40,15.967,2017/11/1 15:40,15.5817,,2016/11/1 15:40,14.2396,2016/11/2 0:30,14.1952,,,
2018/11/1 15:50,16.4121,2018/11/1 15:50,17.677,,2017/11/1 15:50,16.0105,2017/11/1 15:50,15.5504,,2016/11/1 15:50,14.2263,2016/11/2 0:40,14.2129,,,
2018/11/1 16:00,16.3993,2018/11/1 16:00,18.0039,,2017/11/1 16:00,16.0877,2017/11/1 16:00,15.5136,,2016/11/1 16:00,14.215,2016/11/2 0:50,14.2314,,,
2018/11/1 16:10,16.3872,2018/11/1 16:10,18.17,,2017/11/1 16:10,16.0914,2017/11/1 16:10,15.4987,,2016/11/1 16:10,14.1875,2016/11/2 2:00,14.0381,,,
2018/11/1 16:20,16.3022,2018/11/1 16:20,18.0054,,2017/11/1 16:20,16.1176,2017/11/1 16:20,15.4839,,2016/11/1 16:20,14.1914,2016/11/2 2:10,14.0126,,,
2018/11/1 16:30,16.3038,2018/11/1 16:30,17.8925,,2017/11/1 16:30,16.1554,2017/11/1 16:30,15.2745,,2016/11/1 16:30,14.1902,2016/11/2 2:20,13.9602,,,
2018/11/1 16:40,16.2961,2018/11/1 16:40,17.7599,,2017/11/1 16:40,16.1251,2017/11/1 16:40,15.1718,,2016/11/1 16:40,14.1732,2016/11/2 2:30,13.6418,,,
2018/11/1 16:50,16.3611,2018/11/1 16:50,17.5467,,2017/11/1 16:50,16.1017,2017/11/1 16:50,14.9688,,2016/11/1 16:50,14.1642,2016/11/2 2:40,13.4217,,,
2018/11/1 17:00,16.3747,2018/11/1 17:00,17.3674,,2017/11/1 17:00,16.1384,2017/11/1 17:00,15.0245,,2016/11/1 17:00,14.1556,2016/11/2 2:50,13.3855,,,
2018/11/1 17:10,16.3636,2018/11/1 17:10,16.9956,,2017/11/1 17:10,16.1887,2017/11/1 17:10,15.1368,,2016/11/1 17:10,14.1531,2016/11/2 3:00,12.878,,,
2018/11/1 17:20,16.3582,2018/11/1 17:20,16.7423,,2017/11/1 17:20,16.2073,2017/11/1 17:20,15.2951,,2016/11/1 17:20,14.2006,2016/11/2 3:10,12.5279,,,
2018/11/1 17:30,16.3517,2018/11/1 17:30,16.6555,,2017/11/1 17:30,16.2151,2017/11/1 17:30,15.397,,2016/11/1 17:30,14.1962,2016/11/2 3:20,12.9167,,,
2018/11/1 17:40,16.3521,2018/11/1 17:40,16.7031,,2017/11/1 17:40,16.2213,2017/11/1 17:40,15.4181,,2016/11/1 17:40,14.1707,2016/11/2 3:30,12.7314,,,
2018/11/1 17:50,16.3517,2018/11/1 17:50,16.7117,,2017/11/1 17:50,16.1683,2017/11/1 17:50,15.4283,,2016/11/1 17:50,14.1502,2016/11/2 3:40,12.3346,,,
2018/11/1 18:00,16.3513,2018/11/1 18:00,16.6509,,2017/11/1 18:00,16.1147,2017/11/1 18:00,15.1695,,2016/11/1 18:00,14.1303,2016/11/2 3:50,12.0429,,,
2018/11/1 18:10,16.3472,2018/11/1 18:10,16.6255,,2017/11/1 18:10,16.056,2017/11/1 18:10,15.3401,,2016/11/1 18:10,14.1049,2016/11/2 4:00,12.0592,,,
2018/11/1 18:20,16.3436,2018/11/1 18:20,16.6267,,2017/11/1 18:20,16.0197,2017/11/1 18:20,15.4366,,2016/11/1 18:20,14.1044,2016/11/2 4:10,12.1649,,,
2018/11/1 18:30,16.344,2018/11/1 18:30,16.6397,,2017/11/1 18:30,15.9626,2017/11/1 18:30,15.4694,,2016/11/1 18:30,14.1028,2016/11/2 4:20,12.4623,,,
2018/11/1 18:40,16.3459,2018/11/1 18:40,16.6496,,2017/11/1 18:40,15.9771,2017/11/1 18:40,15.4407,,2016/11/1 18:40,14.094,2016/11/2 4:50,13.0113,,,
2018/11/1 18:50,16.3623,2018/11/1 18:50,16.6423,,2017/11/1 18:50,15.9725,2017/11/1 18:50,15.265,,2016/11/1 18:50,14.0956,2016/11/2 7:00,13.4555,,,
2018/11/1 19:00,16.3434,2018/11/1 19:00,16.6118,,2017/11/1 19:00,15.9722,2017/11/1 19:00,15.339,,2016/11/1 19:00,14.0715,2016/11/2 7:10,13.5488,,,
2018/11/1 19:10,16.3428,2018/11/1 19:10,16.5972,,2017/11/1 19:10,15.9695,2017/11/1 19:10,15.3786,,2016/11/1 19:10,14.0723,2016/11/2 7:20,13.6172,,,
2018/11/1 19:20,16.329,2018/11/1 19:20,16.5861,,2017/11/1 19:20,15.9919,2017/11/1 19:20,15.417,,2016/11/1 19:20,14.0683,2016/11/2 7:30,13.5938,,,
2018/11/1 19:30,16.3316,2018/11/1 19:30,16.5707,,2017/11/1 19:30,15.9763,2017/11/1 19:30,15.4606,,2016/11/1 19:30,14.0435,2016/11/2 7:40,13.637,,,
2018/11/1 19:40,16.3226,2018/11/1 19:40,16.5637,,2017/11/1 19:40,15.9441,2017/11/1 19:40,15.4925,,2016/11/1 19:40,14.0197,2016/11/2 7:50,13.6332,,,
2018/11/1 19:50,16.3735,2018/11/1 19:50,16.5622,,2017/11/1 19:50,15.8343,2017/11/1 19:50,15.4958,,2016/11/1 19:50,14.0007,2016/11/2 9:00,12.9577,,,
2018/11/1 20:00,16.4539,2018/11/1 20:00,16.562,,2017/11/1 20:00,15.683,2017/11/1 20:00,15.5116,,2016/11/1 20:00,13.9532,2016/11/2 9:10,12.8559,,,
2018/11/1 20:10,16.5283,2018/11/1 20:10,16.5617,,2017/11/1 20:10,15.4534,2017/11/1 20:10,15.4624,,2016/11/1 20:10,13.8911,2016/11/2 9:20,12.9056,,,
2018/11/1 20:20,16.5934,2018/11/1 20:20,16.5605,,2017/11/1 20:20,15.1509,2017/11/1 20:20,15.499,,2016/11/1 20:20,13.8531,2016/11/2 9:30,13.1798,,,
2018/11/1 20:30,16.6537,2018/11/1 20:30,16.5685,,2017/11/1 20:30,14.8314,2017/11/1 20:30,15.6097,,2016/11/1 20:30,13.9411,2016/11/2 9:40,13.3067,,,
2018/11/1 20:40,16.6036,2018/11/1 20:40,16.5988,,2017/11/1 20:40,14.6501,2017/11/1 20:40,15.6567,,2016/11/1 20:40,14.0692,2016/11/2 9:50,13.4056,,,
2018/11/1 20:50,16.5234,2018/11/1 20:50,16.6496,,2017/11/1 20:50,14.5801,2017/11/1 20:50,15.6731,,2016/11/1 20:50,14.0742,2016/11/2 10:00,13.5179,,,
2018/11/1 21:00,16.5122,2018/11/1 21:00,16.6642,,2017/11/1 21:00,14.8477,2017/11/1 21:00,15.6676,,2016/11/1 21:00,14.0453,2016/11/2 10:10,13.5331,,,
2018/11/1 21:10,16.5231,2018/11/1 21:10,16.6687,,2017/11/1 21:10,15.0583,2017/11/1 21:10,15.6614,,2016/11/1 21:10,13.9461,2016/11/2 10:20,13.6969,,,
2018/11/1 21:20,16.5421,2018/11/1 21:20,16.6787,,2017/11/1 21:20,15.2096,2017/11/1 21:20,15.6776,,2016/11/1 21:20,13.9276,2016/11/2 10:30,13.8344,,,
2018/11/1 21:30,16.5589,2018/11/1 21:30,16.6891,,2017/11/1 21:30,15.0246,2017/11/1 21:30,15.705,,2016/11/1 21:30,13.9001,2016/11/2 10:40,13.9142,,,
2018/11/1 21:40,16.5659,2018/11/1 21:40,16.7041,,2017/11/1 21:40,15.1941,2017/11/1 21:40,15.7465,,2016/11/1 21:40,13.8856,2016/11/2 10:50,14.0055,,,
2018/11/1 21:50,16.574,2018/11/1 21:50,16.7198,,2017/11/1 21:50,15.3466,2017/11/1 21:50,15.7933,,2016/11/1 21:50,13.8751,2016/11/2 11:00,14.0476,,,
2018/11/1 22:00,16.5971,2018/11/1 22:00,16.7418,,2017/11/1 22:00,15.4812,2017/11/1 22:00,15.8185,,2016/11/1 22:00,13.852,2016/11/2 11:10,13.9309,,,
2018/11/1 22:10,16.6382,2018/11/1 22:10,16.7823,,2017/11/1 22:10,15.1883,2017/11/1 22:10,15.8497,,2016/11/1 22:10,13.8502,2016/11/2 11:20,13.7928,,,
2018/11/1 22:20,16.6737,2018/11/1 22:20,16.8318,,2017/11/1 22:20,15.0756,2017/11/1 22:20,15.8783,,2016/11/1 22:20,13.8614,2016/11/2 11:30,13.7881,,,
2018/11/1 22:30,16.6974,2018/11/1 22:30,16.9119,,2017/11/1 22:30,15.1565,2017/11/1 22:30,15.9214,,2016/11/1 22:30,13.8958,2016/11/2 11:40,13.7772,,,
