2018-19,,,,,,,,2017-18,,,,,,,,2016-17,,,,,,
2-hourly mean daily temperature,,,,,,,,2-hourly mean daily temperature,,,,,,,,2-hourly mean daily temperature,,,,,,
,Upper,,,Lower,,,,,Upper,,,Lower,,,,,Upper,,,Lower,,
30/11/2018,18.906 ,19.827 ,20.401 ,18.267 ,19.409 ,20.358 ,,30/11/2017,22.817 ,23.118 ,23.731 ,21.493 ,23.355 ,24.585 ,,30/11/2016,18.880 ,19.451 ,20.536 ,18.149 ,19.334 ,20.567 
1/12/2018,18.194 ,19.173 ,20.995 ,17.397 ,19.483 ,21.086 ,,1/12/2017,20.332 ,21.507 ,22.996 ,18.435 ,21.361 ,23.034 ,,1/12/2016,18.907 ,19.640 ,20.465 ,18.539 ,19.556 ,20.587 
2/12/2018,16.837 ,18.059 ,19.270 ,15.129 ,17.289 ,19.005 ,,2/12/2017,17.546 ,18.539 ,20.115 ,16.458 ,17.944 ,20.940 ,,2/12/2016,18.293 ,19.234 ,20.450 ,16.327 ,19.107 ,20.807 
3/12/2018,15.692 ,16.934 ,17.790 ,14.187 ,16.102 ,17.666 ,,3/12/2017,13.675 ,14.760 ,16.207 ,12.101 ,14.859 ,18.081 ,,3/12/2016,18.498 ,19.203 ,20.021 ,14.048 ,18.537 ,19.907 
4/12/2018,16.231 ,17.050 ,19.270 ,15.910 ,17.190 ,20.695 ,,4/12/2017,14.941 ,15.584 ,16.071 ,15.344 ,16.130 ,17.113 ,,4/12/2016,18.457 ,19.414 ,20.132 ,17.250 ,19.293 ,20.953 
5/12/2018,17.746 ,18.722 ,21.063 ,17.380 ,19.701 ,22.924 ,,5/12/2017,16.614 ,17.352 ,18.517 ,15.849 ,17.391 ,19.543 ,,5/12/2016,19.016 ,19.548 ,20.212 ,18.269 ,19.798 ,22.606 
6/12/2018,18.764 ,19.847 ,22.611 ,18.895 ,20.666 ,24.262 ,,6/12/2017,17.302 ,17.683 ,18.378 ,16.545 ,17.451 ,18.487 ,,6/12/2016,18.518 ,19.244 ,19.994 ,15.778 ,19.179 ,20.652 
7/12/2018,19.731 ,20.310 ,21.594 ,19.264 ,20.556 ,22.669 ,,7/12/2017,16.528 ,17.652 ,18.653 ,16.277 ,17.404 ,18.695 ,,7/12/2016,18.478 ,19.237 ,19.915 ,16.889 ,19.288 ,21.061 
8/12/2018,19.921 ,20.607 ,21.789 ,19.393 ,20.299 ,22.260 ,,8/12/2017,16.664 ,17.417 ,18.480 ,14.736 ,17.218 ,19.309 ,,8/12/2016,17.207 ,18.308 ,19.324 ,13.908 ,17.594 ,19.091 
9/12/2018,19.899 ,20.412 ,21.421 ,19.147 ,20.233 ,21.174 ,,9/12/2017,16.941 ,17.610 ,18.138 ,14.499 ,17.171 ,19.514 ,,9/12/2016,16.352 ,17.080 ,18.078 ,13.994 ,16.534 ,17.922 
10/12/2018,20.283 ,20.960 ,22.109 ,18.701 ,20.540 ,22.211 ,,10/12/2017,17.254 ,17.763 ,18.216 ,16.353 ,18.004 ,19.969 ,,10/12/2016,15.835 ,16.597 ,17.335 ,13.982 ,16.063 ,16.922 
11/12/2018,20.957 ,21.701 ,23.261 ,18.881 ,21.248 ,23.165 ,,11/12/2017,17.807 ,18.844 ,20.488 ,17.384 ,18.521 ,20.424 ,,11/12/2016,16.593 ,17.661 ,18.903 ,16.607 ,18.422 ,20.830 
12/12/2018,21.452 ,22.316 ,23.461 ,19.884 ,21.721 ,24.199 ,,12/12/2017,19.081 ,19.791 ,20.563 ,18.917 ,20.149 ,21.725 ,,12/12/2016,17.523 ,18.716 ,21.343 ,17.295 ,19.179 ,22.417 
13/12/2018,20.942 ,22.151 ,22.871 ,20.773 ,21.614 ,23.233 ,,13/12/2017,19.539 ,20.065 ,21.153 ,19.611 ,20.542 ,21.365 ,,13/12/2016,17.281 ,18.366 ,19.947 ,16.041 ,18.670 ,22.150 
14/12/2018,20.561 ,21.749 ,22.605 ,20.286 ,21.230 ,22.895 ,,14/12/2017,18.093 ,20.097 ,21.844 ,17.952 ,20.246 ,23.453 ,,14/12/2016,15.897 ,16.906 ,17.808 ,14.054 ,16.468 ,18.669 
15/12/2018,20.748 ,21.125 ,21.492 ,19.871 ,20.713 ,21.919 ,,15/12/2017,19.167 ,20.202 ,21.672 ,18.835 ,19.872 ,21.895 ,,15/12/2016,16.720 ,17.700 ,19.251 ,14.820 ,17.836 ,19.718 
16/12/2018,20.909 ,21.752 ,22.881 ,20.879 ,21.953 ,23.481 ,,16/12/2017,18.071 ,19.676 ,20.815 ,18.365 ,19.551 ,20.779 ,,16/12/2016,18.008 ,19.204 ,20.459 ,17.076 ,19.548 ,21.704 
17/12/2018,20.269 ,21.031 ,21.883 ,18.993 ,20.269 ,21.586 ,,17/12/2017,19.613 ,20.677 ,22.043 ,19.463 ,20.716 ,22.737 ,,17/12/2016,16.368 ,17.447 ,18.965 ,11.599 ,16.938 ,18.539 
18/12/2018,20.061 ,20.826 ,21.577 ,18.377 ,20.070 ,23.643 ,,18/12/2017,20.694 ,21.643 ,23.258 ,20.449 ,21.687 ,23.779 ,,18/12/2016,16.305 ,16.897 ,17.867 ,13.443 ,15.505 ,16.972 
19/12/2018,19.853 ,20.621 ,21.271 ,19.450 ,21.135 ,24.318 ,,19/12/2017,19.991 ,21.143 ,22.584 ,19.292 ,21.101 ,23.305 ,,19/12/2016,16.103 ,16.620 ,17.356 ,13.576 ,16.091 ,17.899 
20/12/2018,18.179 ,19.420 ,20.391 ,17.792 ,19.152 ,20.314 ,,20/12/2017,18.599 ,19.406 ,20.761 ,16.248 ,18.936 ,20.029 ,,20/12/2016,15.740 ,16.494 ,17.247 ,13.224 ,16.583 ,20.182 
21/12/2018,17.411 ,18.934 ,20.142 ,17.257 ,18.248 ,19.351 ,,21/12/2017,18.277 ,18.730 ,19.472 ,17.082 ,18.225 ,18.968 ,,21/12/2016,15.506 ,16.156 ,17.529 ,14.021 ,16.377 ,18.868 
22/12/2018,18.208 ,19.382 ,21.603 ,17.423 ,19.153 ,20.808 ,,22/12/2017,18.658 ,19.260 ,20.172 ,17.894 ,19.725 ,21.376 ,,22/12/2016,17.329 ,17.994 ,19.153 ,17.618 ,18.144 ,18.567 
23/12/2018,18.186 ,19.553 ,21.557 ,17.246 ,19.895 ,22.288 ,,23/12/2017,18.628 ,19.187 ,20.187 ,16.111 ,18.652 ,19.840 ,,23/12/2016,19.311 ,19.779 ,20.498 ,18.208 ,19.875 ,22.084 
24/12/2018,19.458 ,20.284 ,21.310 ,19.055 ,20.346 ,21.873 ,,24/12/2017,18.124 ,18.725 ,19.672 ,14.505 ,17.505 ,18.954 ,,24/12/2016,20.615 ,21.660 ,22.327 ,19.791 ,21.560 ,24.549 
25/12/2018,19.481 ,20.297 ,21.559 ,18.886 ,19.890 ,21.342 ,,25/12/2017,18.338 ,18.882 ,19.373 ,17.709 ,18.358 ,19.111 ,,25/12/2016,21.836 ,23.076 ,24.472 ,21.134 ,22.601 ,26.690 
26/12/2018,20.118 ,21.288 ,22.454 ,19.780 ,21.104 ,22.637 ,,26/12/2017,19.436 ,20.632 ,21.878 ,19.079 ,20.775 ,23.413 ,,26/12/2016,21.049 ,21.734 ,22.704 ,19.707 ,21.016 ,23.276 
27/12/2018,20.900 ,21.467 ,22.241 ,20.132 ,21.149 ,22.066 ,,27/12/2017,20.555 ,21.289 ,22.246 ,20.365 ,22.174 ,24.760 ,,27/12/2016,20.571 ,21.551 ,23.427 ,20.045 ,21.499 ,24.208 
28/12/2018,21.433 ,22.211 ,23.134 ,19.080 ,22.010 ,24.523 ,,28/12/2017,21.497 ,22.293 ,23.316 ,20.939 ,22.483 ,25.154 ,,28/12/2016,20.540 ,20.951 ,21.444 ,19.880 ,20.467 ,20.860 
29/12/2018,20.372 ,21.504 ,22.157 ,19.370 ,21.773 ,24.072 ,,29/12/2017,20.768 ,21.974 ,23.409 ,19.306 ,22.197 ,24.644 ,,29/12/2016,20.811 ,21.150 ,21.936 ,20.332 ,20.797 ,21.460 
30/12/2018,21.061 ,22.002 ,23.594 ,19.660 ,21.537 ,23.621 ,,30/12/2017,18.020 ,20.038 ,21.237 ,17.564 ,19.543 ,21.403 ,,30/12/2016,20.490 ,21.422 ,22.513 ,19.435 ,21.324 ,22.981 
31/12/2018,21.012 ,22.080 ,23.102 ,21.133 ,22.256 ,24.259 ,,31/12/2017,18.916 ,19.869 ,20.914 ,17.452 ,20.054 ,22.609 ,,31/12/2016,20.940 ,21.784 ,23.166 ,19.994 ,20.948 ,22.472 
1/01/2019,19.420 ,20.962 ,22.321 ,19.874 ,21.854 ,23.362 ,,1/01/2018,18.749 ,19.357 ,19.937 ,17.843 ,19.520 ,21.102 ,,1/01/2017,20.203 ,20.765 ,21.174 ,19.006 ,19.939 ,20.872 
2/01/2019,20.058 ,21.353 ,24.873 ,18.422 ,20.861 ,22.894 ,,2/01/2018,17.513 ,18.757 ,19.732 ,16.062 ,18.690 ,19.827 ,,2/01/2017,19.679 ,20.340 ,21.190 ,16.587 ,19.808 ,20.904 
3/01/2019,21.117 ,22.521 ,24.539 ,20.553 ,21.531 ,23.863 ,,3/01/2018,18.096 ,18.860 ,20.328 ,15.615 ,18.390 ,19.833 ,,3/01/2017,19.524 ,20.327 ,21.305 ,18.655 ,19.961 ,21.416 
4/01/2019,21.193 ,22.289 ,23.928 ,21.157 ,23.117 ,26.272 ,,4/01/2018,18.432 ,19.064 ,19.968 ,18.197 ,18.918 ,19.491 ,,4/01/2017,19.743 ,21.628 ,22.846 ,19.213 ,21.769 ,23.988 
5/01/2019,20.488 ,21.270 ,22.575 ,19.815 ,21.996 ,24.767 ,,5/01/2018,19.597 ,20.414 ,21.343 ,17.315 ,20.118 ,22.242 ,,5/01/2017,21.293 ,22.022 ,22.662 ,20.356 ,21.635 ,23.719 
6/01/2019,19.031 ,20.596 ,22.635 ,19.205 ,20.997 ,23.102 ,,6/01/2018,18.942 ,19.578 ,20.396 ,17.101 ,19.136 ,20.537 ,,6/01/2017,21.731 ,23.183 ,25.146 ,21.190 ,23.105 ,25.888 
7/01/2019,20.633 ,21.562 ,23.001 ,18.270 ,19.906 ,21.244 ,,7/01/2018,19.697 ,20.481 ,21.057 ,19.014 ,20.642 ,22.623 ,,7/01/2017,23.066 ,24.049 ,24.932 ,22.418 ,23.819 ,25.700 
8/01/2019,20.405 ,21.447 ,22.949 ,20.203 ,21.286 ,22.474 ,,8/01/2018,20.100 ,21.116 ,22.240 ,20.058 ,21.388 ,23.159 ,,8/01/2017,21.577 ,23.339 ,25.278 ,20.746 ,23.415 ,27.826 
9/01/2019,18.902 ,19.422 ,20.781 ,16.954 ,20.846 ,23.125 ,,9/01/2018,20.310 ,20.946 ,21.682 ,19.722 ,20.785 ,21.610 ,,9/01/2017,20.246 ,22.913 ,24.666 ,20.606 ,23.028 ,25.329 
10/01/2019,18.940 ,19.924 ,21.099 ,15.045 ,18.591 ,19.761 ,,10/01/2018,20.271 ,21.637 ,23.283 ,20.422 ,21.299 ,22.112 ,,10/01/2017,20.915 ,22.144 ,23.632 ,18.569 ,21.587 ,23.144 
11/01/2019,20.077 ,20.601 ,21.074 ,18.575 ,19.406 ,21.768 ,,11/01/2018,21.750 ,22.806 ,23.870 ,21.135 ,22.360 ,24.612 ,,11/01/2017,19.188 ,20.667 ,21.907 ,16.442 ,20.394 ,23.061 
12/01/2019,19.927 ,20.668 ,21.396 ,18.807 ,21.116 ,23.625 ,,12/01/2018,20.091 ,21.341 ,22.683 ,19.668 ,21.261 ,23.116 ,,12/01/2017,19.355 ,20.248 ,21.859 ,17.931 ,20.307 ,23.528 
13/01/2019,20.801 ,21.575 ,22.044 ,17.220 ,19.734 ,21.417 ,,13/01/2018,18.799 ,19.790 ,20.586 ,16.225 ,18.457 ,19.657 ,,13/01/2017,18.253 ,19.232 ,20.238 ,14.197 ,19.134 ,22.056 
14/01/2019,21.891 ,22.484 ,23.112 ,20.035 ,21.625 ,23.595 ,,14/01/2018,18.123 ,18.908 ,20.126 ,16.670 ,18.346 ,19.213 ,,14/01/2017,17.312 ,18.064 ,18.992 ,13.173 ,17.273 ,19.244 
15/01/2019,22.080 ,22.910 ,23.527 ,21.375 ,22.948 ,24.471 ,,15/01/2018,17.503 ,19.168 ,21.452 ,17.047 ,18.665 ,20.540 ,,15/01/2017,17.667 ,18.389 ,19.420 ,14.462 ,17.908 ,19.952 
16/01/2019,21.804 ,22.651 ,23.480 ,21.761 ,22.916 ,24.403 ,,16/01/2018,18.510 ,19.852 ,21.863 ,18.579 ,19.986 ,22.559 ,,16/01/2017,18.944 ,19.761 ,21.000 ,17.499 ,19.856 ,22.588 
17/01/2019,22.300 ,23.131 ,24.691 ,21.126 ,22.215 ,24.320 ,,17/01/2018,19.562 ,20.718 ,22.256 ,19.006 ,21.054 ,23.382 ,,17/01/2017,18.918 ,19.729 ,20.946 ,15.295 ,19.262 ,21.660 
18/01/2019,20.295 ,21.842 ,23.438 ,21.875 ,22.696 ,24.967 ,,18/01/2018,20.441 ,21.591 ,23.629 ,20.311 ,21.615 ,24.096 ,,18/01/2017,17.845 ,18.716 ,19.493 ,15.791 ,18.415 ,20.488 
19/01/2019,19.553 ,20.860 ,23.510 ,19.157 ,21.319 ,25.035 ,,19/01/2018,21.016 ,21.589 ,23.297 ,20.362 ,21.352 ,22.419 ,,19/01/2017,17.435 ,18.754 ,19.689 ,17.206 ,18.741 ,21.082 
20/01/2019,20.625 ,21.724 ,24.631 ,17.616 ,20.445 ,22.039 ,,20/01/2018,20.829 ,22.325 ,23.899 ,21.031 ,22.021 ,23.241 ,,20/01/2017,17.552 ,18.100 ,18.616 ,14.924 ,17.114 ,18.032 
21/01/2019,22.051 ,22.972 ,24.450 ,20.697 ,21.919 ,23.814 ,,21/01/2018,22.253 ,23.171 ,24.166 ,20.992 ,22.705 ,24.564 ,,21/01/2017,17.026 ,17.812 ,18.725 ,15.420 ,17.618 ,18.446 
22/01/2019,22.018 ,23.126 ,24.956 ,21.781 ,23.167 ,25.731 ,,22/01/2018,22.211 ,22.940 ,24.126 ,19.504 ,22.661 ,25.054 ,,22/01/2017,18.647 ,19.252 ,20.045 ,17.705 ,19.555 ,20.793 
23/01/2019,20.806 ,21.798 ,23.006 ,21.750 ,23.310 ,25.809 ,,23/01/2018,21.808 ,22.521 ,23.030 ,20.782 ,22.183 ,24.206 ,,23/01/2017,20.125 ,20.966 ,21.950 ,19.296 ,20.952 ,24.554 
24/01/2019,21.007 ,21.544 ,22.968 ,18.872 ,20.945 ,22.524 ,,24/01/2018,22.460 ,23.044 ,24.915 ,21.667 ,22.879 ,24.243 ,,24/01/2017,16.594 ,18.416 ,21.260 ,15.047 ,18.791 ,20.416 
25/01/2019,20.419 ,21.229 ,21.988 ,17.474 ,20.748 ,22.992 ,,25/01/2018,23.146 ,23.815 ,24.790 ,22.459 ,23.684 ,25.224 ,,25/01/2017,,,,15.700 ,19.199 ,23.301 
26/01/2019,19.812 ,20.806 ,21.392 ,18.567 ,20.735 ,23.483 ,,26/01/2018,22.446 ,23.410 ,25.104 ,21.401 ,22.918 ,24.388 ,,26/01/2017,,,,17.069 ,19.465 ,23.817 
27/01/2019,19.151 ,20.052 ,20.899 ,19.337 ,20.747 ,22.072 ,,27/01/2018,23.523 ,24.428 ,26.451 ,23.493 ,24.136 ,26.045 ,,27/01/2017,,,,18.893 ,20.408 ,23.642 
28/01/2019,19.462 ,20.327 ,21.092 ,17.723 ,19.648 ,21.158 ,,28/01/2018,25.068 ,25.470 ,25.948 ,24.967 ,26.075 ,29.562 ,,28/01/2017,,,,18.496 ,20.477 ,23.189 
29/01/2019,20.406 ,20.981 ,21.885 ,19.534 ,21.034 ,23.150 ,,29/01/2018,22.892 ,23.711 ,25.328 ,22.662 ,23.860 ,25.658 ,,29/01/2017,,,,17.738 ,21.011 ,24.321 
30/01/2019,19.888 ,20.617 ,21.160 ,19.835 ,21.124 ,23.730 ,,30/01/2018,19.877 ,21.108 ,22.303 ,17.485 ,20.552 ,22.265 ,,30/01/2017,,,,14.086 ,18.814 ,20.775 
31/01/2019,18.179 ,19.288 ,20.901 ,18.456 ,20.532 ,22.699 ,,31/01/2018,16.786 ,19.035 ,20.283 ,16.395 ,18.274 ,19.455 ,,31/01/2017,,,,14.734 ,18.278 ,20.372 
1/02/2019,17.481 ,19.365 ,22.113 ,16.469 ,18.152 ,19.789 ,,1/02/2018,17.925 ,19.452 ,20.704 ,17.925 ,19.452 ,20.704 ,,1/02/2017,,,,13.612 ,17.119 ,19.041 
2/02/2019,19.506 ,20.974 ,22.850 ,17.972 ,19.364 ,21.177 ,,2/02/2018,18.336 ,19.256 ,20.049 ,18.336 ,19.256 ,20.049 ,,2/02/2017,,,,14.047 ,17.481 ,19.877 
3/02/2019,20.848 ,21.748 ,23.516 ,19.783 ,21.245 ,23.210 ,,3/02/2018,18.087 ,20.283 ,23.066 ,18.087 ,20.283 ,23.066 ,,3/02/2017,,,,15.076 ,18.076 ,21.186 
4/02/2019,20.426 ,21.619 ,23.199 ,20.560 ,21.821 ,24.353 ,,4/02/2018,19.639 ,20.685 ,22.149 ,19.639 ,20.685 ,22.149 ,,4/02/2017,,,,17.574 ,18.706 ,19.894 
5/02/2019,19.113 ,20.175 ,22.092 ,19.355 ,21.747 ,24.719 ,,5/02/2018,19.663 ,21.007 ,22.292 ,19.663 ,21.007 ,22.292 ,,5/02/2017,,,,16.587 ,18.286 ,19.180 
6/02/2019,20.496 ,21.118 ,22.387 ,17.684 ,19.189 ,21.289 ,,6/02/2018,19.889 ,21.616 ,23.522 ,19.889 ,21.616 ,23.522 ,,6/02/2017,,,,17.718 ,18.519 ,20.032 
7/02/2019,21.067 ,21.456 ,22.382 ,20.332 ,21.027 ,22.435 ,,7/02/2018,20.776 ,22.614 ,24.643 ,20.776 ,22.614 ,24.643 ,,7/02/2017,,,,18.060 ,19.998 ,23.941 
8/02/2019,19.558 ,20.061 ,21.090 ,19.092 ,21.465 ,23.656 ,,8/02/2018,21.557 ,22.299 ,23.251 ,21.557 ,22.299 ,23.251 ,,8/02/2017,,,,18.116 ,19.699 ,21.281 
9/02/2019,18.414 ,18.917 ,19.725 ,15.963 ,19.444 ,21.529 ,,9/02/2018,21.461 ,22.525 ,24.399 ,21.461 ,22.525 ,24.399 ,,9/02/2017,,,,18.635 ,19.636 ,21.952 
10/02/2019,18.603 ,19.070 ,19.531 ,13.011 ,17.526 ,19.920 ,,10/02/2018,21.873 ,22.903 ,24.636 ,21.873 ,22.903 ,24.636 ,,10/02/2017,,,,19.339 ,20.436 ,22.729 
11/02/2019,18.530 ,18.967 ,19.540 ,17.705 ,19.488 ,21.154 ,,11/02/2018,20.127 ,21.322 ,22.256 ,20.127 ,21.322 ,22.256 ,,11/02/2017,,,,14.171 ,17.880 ,19.397 
12/02/2019,16.694 ,17.417 ,18.441 ,17.804 ,19.619 ,22.453 ,,12/02/2018,19.550 ,20.450 ,21.934 ,19.550 ,20.450 ,21.934 ,,12/02/2017,,,,12.543 ,16.378 ,18.038 
13/02/2019,16.446 ,17.071 ,17.809 ,12.915 ,16.567 ,18.551 ,,13/02/2018,19.674 ,20.812 ,23.026 ,19.674 ,20.812 ,23.026 ,,13/02/2017,,,,13.088 ,15.966 ,17.809 
14/02/2019,16.197 ,16.724 ,17.176 ,14.926 ,16.868 ,18.081 ,,14/02/2018,18.491 ,19.552 ,20.388 ,18.491 ,19.552 ,20.388 ,,14/02/2017,,,,14.088 ,16.831 ,19.128 
15/02/2019,16.366 ,17.062 ,17.763 ,15.501 ,17.452 ,19.406 ,,15/02/2018,16.521 ,17.825 ,18.842 ,16.521 ,17.825 ,18.842 ,,15/02/2017,,,,14.788 ,16.933 ,20.322 
