2018-19,Farmer Observations,,,,2017-18,Farmer Observations,,,,2016-17,Farmer Observations,,
2018/12/19,2,2,1,,2017/12/19,0,1,1,,2016/12/19,0,1,2
2018/12/20,1,1,1,,2017/12/20,0,1,1,,2016/12/20,0,1,2
2018/12/21,1,1,1,,2017/12/21,0,1,1,,2016/12/21,0,1,2
2018/12/22,1,1,1,,2017/12/22,0,1,1,,2016/12/22,0,1,2
2018/12/23,0,1,1,,2017/12/23,0,1,1,,2016/12/23,0,1,1
2018/12/24,0,0,1,,2017/12/24,0,1,1,,2016/12/24,0,1,1
2018/12/25,0,0,1,,2017/12/25,0,1,1,,2016/12/25,0,1,1
2018/12/26,0,0,1,,2017/12/26,0,1,1,,2016/12/26,0,1,1
2018/12/27,0,0,1,,2017/12/27,0,1,1,,2016/12/27,0,1,1
2018/12/28,0,0,1,,2017/12/28,0,1,1,,2016/12/28,0,1,1
2018/12/29,0,0,1,,2017/12/29,0,1,1,,2016/12/29,1,1,1
2018/12/30,0,0,1,,2017/12/30,0,1,1,,2016/12/30,1,1,1
2018/12/31,0,0,1,,2017/12/31,0,1,1,,2016/12/31,1,1,1
2019/1/1,0,0,1,,2018/1/1,0,1,1,,2017/1/1,1,0,1
2019/1/2,0,0,1,,2018/1/2,0,1,1,,2017/1/2,1,0,1
2019/1/3,0,0,1,,2018/1/3,0,1,1,,2017/1/3,2,0,1
2019/1/4,0,0,1,,2018/1/4,0,1,1,,2017/1/4,2,0,1
2019/1/5,0,0,1,,2018/1/5,0,1,1,,2017/1/5,2,0,1
2019/1/6,0,0,1,,2018/1/6,0,1,1,,2017/1/6,2,0,1
2019/1/7,1,0,2,,2018/1/7,0,1,1,,2017/1/7,2,0,1
2019/1/8,2,0,2,,2018/1/8,0,1,1,,2017/1/8,2,0,1
2019/1/9,2,0,2,,2018/1/9,0,1,1,,2017/1/9,2,1,1
2019/1/10,2,0,2,,2018/1/10,0,1,1,,2017/1/10,1,2,1
2019/1/11,2,0,2,,2018/1/11,0,1,1,,2017/1/11,1,2,1
2019/1/12,2,0,2,,2018/1/12,0,1,1,,2017/1/12,1,2,1
2019/1/13,2,0,2,,2018/1/13,0,1,1,,2017/1/13,0,2,1
2019/1/14,2,0,2,,2018/1/14,0,1,1,,2017/1/14,0,2,1
2019/1/15,1,0,2,,2018/1/15,0,1,1,,2017/1/15,0,2,1
2019/1/16,0,0,2,,2018/1/16,0,1,1,,2017/1/16,0,2,1
2019/1/17,0,0,2,,2018/1/17,0,2,1,,2017/1/17,0,2,1
2019/1/18,0,0,2,,2018/1/18,0,2,1,,2017/1/18,0,2,1
2019/1/19,0,0,2,,2018/1/19,0,2,1,,2017/1/19,0,2,1
2019/1/20,0,0,2,,2018/1/20,0,2,1,,2017/1/20,0,2,1
2019/1/21,0,0,2,,2018/1/21,0,2,1,,2017/1/21,0,1,1
2019/1/22,0,0,2,,2018/1/22,1,2,1,,2017/1/22,0,1,1
2019/1/23,0,0,1,,2018/1/23,1,2,1,,2017/1/23,0,1,1
2019/1/24,0,1,1,,2018/1/24,1,2,1,,2017/1/24,0,1,1
2019/1/25,0,2,1,,2018/1/25,2,2,1,,2017/1/25,0,1,1
2019/1/26,0,2,1,,2018/1/26,2,2,2,,2017/1/26,0,1,1
2019/1/27,0,2,1,,2018/1/27,2,2,2,,2017/1/27,0,1,1
2019/1/28,0,2,1,,2018/1/28,2,2,2,,2017/1/28,0,1,1
2019/1/29,1,2,1,,2018/1/29,2,2,2,,2017/1/29,0,1,1
2019/1/30,1,2,1,,2018/1/30,2,2,2,,2017/1/30,0,1,1
2019/1/31,1,2,1,,2018/1/31,1,2,2,,2017/1/31,0,1,1
2019/2/1,1,2,1,,2018/2/1,1,2,2,,2017/2/1,0,1,1
2019/2/2,1,2,1,,2018/2/2,0,2,2,,2017/2/2,0,1,1
2019/2/3,1,2,1,,2018/2/3,0,1,2,,2017/2/3,0,1,1
2019/2/4,1,0,1,,2018/2/4,0,1,2,,2017/2/4,0,2,1
2019/2/5,1,0,1,,2018/2/5,0,1,2,,2017/2/5,0,2,1
2019/2/6,1,0,1,,2018/2/6,0,1,2,,2017/2/6,0,2,1
2019/2/7,1,0,1,,2018/2/7,0,1,1,,2017/2/7,0,2,1
2019/2/8,1,0,1,,2018/2/8,1,1,1,,2017/2/8,0,2,1
2019/2/9,1,0,1,,2018/2/9,1,1,1,,2017/2/9,0,2,1
2019/2/10,1,0,1,,2018/2/10,1,1,1,,2017/2/10,0,2,1
2019/2/11,1,0,1,,2018/2/11,2,1,1,,2017/2/11,0,2,1
2019/2/12,1,0,1,,2018/2/12,2,1,1,,2017/2/12,0,2,1
2019/2/13,1,0,1,,2018/2/13,2,1,1,,2017/2/13,0,2,1
2019/2/14,1,0,1,,2018/2/14,2,1,1,,2017/2/14,0,2,1
2019/2/15,1,0,1,,2018/2/15,1,1,1,,2017/2/15,0,2,2
2019/2/16,1,0,1,,2018/2/16,1,1,1,,2017/2/16,0,1,2
2019/2/17,1,0,1,,2018/2/17,1,1,1,,2017/2/17,0,1,2
2019/2/18,1,0,1,,2018/2/18,0,1,1,,2017/2/18,0,1,2
2019/2/19,1,0,1,,2018/2/19,0,1,1,,2017/2/19,0,1,2
2019/2/20,1,0,1,,2018/2/20,0,1,1,,2017/2/20,0,1,2
2019/2/21,1,0,0,,2018/2/21,0,1,1,,2017/2/21,0,1,2
2019/2/22,1,0,0,,2018/2/22,0,1,1,,2017/2/22,0,1,2
2019/2/23,1,0,0,,2018/2/23,0,1,1,,2017/2/23,0,1,2
2019/2/24,1,0,0,,2018/2/24,0,1,1,,2017/2/24,0,1,2
2019/2/25,1,0,0,,2018/2/25,0,1,1,,2017/2/25,0,1,2
2019/2/26,1,0,0,,2018/2/26,0,1,1,,2017/2/26,0,1,2
2019/2/27,1,0,0,,2018/2/27,0,1,1,,2017/2/27,0,1,2
2019/2/28,1,0,0,,2018/2/28,0,1,1,,2017/2/28,0,0,2
2019/3/1,0,0,0,,2018/3/1,0,1,0,,2017/3/1,0,0,1
2019/3/2,0,1,0,,2018/3/2,0,2,0,,2017/3/2,0,0,1
2019/3/3,0,2,0,,2018/3/3,0,2,0,,2017/3/3,0,0,1
2019/3/4,0,0,0,,2018/3/4,0,2,0,,2017/3/4,0,0,1
2019/3/5,0,0,0,,2018/3/5,0,2,0,,2017/3/5,0,0,1
2019/3/6,0,0,0,,2018/3/6,0,2,0,,2017/3/6,1,0,1
2019/3/7,0,0,0,,2018/3/7,0,1,0,,2017/3/7,1,0,1
2019/3/8,0,0,0,,2018/3/8,0,1,0,,2017/3/8,1,0,1
2019/3/9,0,0,0,,2018/3/9,0,1,0,,2017/3/9,1,0,1
2019/3/10,0,0,0,,2018/3/10,0,1,0,,2017/3/10,1,0,1
2019/3/11,0,0,0,,2018/3/11,0,1,0,,2017/3/11,1,1,1
2019/3/12,0,0,0,,2018/3/12,0,1,0,,2017/3/12,1,1,1
2019/3/13,0,0,0,,2018/3/13,0,1,0,,2017/3/13,2,1,1
2019/3/14,0,0,0,,2018/3/14,0,1,0,,2017/3/14,2,1,1
2019/3/15,0,0,0,,2018/3/15,0,1,0,,2017/3/15,2,1,1
2019/3/16,0,0,0,,2018/3/16,0,1,0,,2017/3/16,2,1,1
2019/3/17,0,0,0,,2018/3/17,0,1,0,,2017/3/17,2,1,1
2019/3/18,0,0,0,,2018/3/18,0,1,0,,2017/3/18,2,1,1
2019/3/19,0,0,0,,2018/3/19,0,1,0,,2017/3/19,1,1,1
2019/3/20,0,0,0,,2018/3/20,0,1,0,,2017/3/20,1,1,1
2019/3/21,0,0,0,,2018/3/21,0,1,0,,2017/3/21,1,1,1
2019/3/22,0,0,0,,2018/3/22,0,1,0,,2017/3/22,1,1,1
2019/3/23,0,0,0,,2018/3/23,0,1,0,,2017/3/23,1,2,1
2019/3/24,0,0,0,,2018/3/24,0,1,0,,2017/3/24,1,2,1
2019/3/25,0,0,0,,2018/3/25,0,1,0,,2017/3/25,1,2,1
2019/3/26,0,0,0,,2018/3/26,0,1,0,,2017/3/26,0,2,1
2019/3/27,0,0,0,,2018/3/27,0,1,0,,2017/3/27,0,2,1
2019/3/28,0,0,0,,2018/3/28,0,1,0,,2017/3/28,0,2,1
2019/3/29,0,0,0,,2018/3/29,0,0,0,,2017/3/29,0,2,1
2019/3/30,0,0,0,,2018/3/30,0,0,0,,2017/3/30,0,2,1
2019/3/31,0,0,0,,2018/3/31,0,0,0,,2017/3/31,0,1,1
2019/4/1,0,0,0,,2018/4/1,0,0,0,,2017/4/1,0,1,0
2019/4/2,0,0,0,,2018/4/2,0,0,0,,2017/4/2,0,1,0
2019/4/3,0,0,0,,2018/4/3,0,0,0,,2017/4/3,0,0,0
2019/4/4,0,0,0,,2018/4/4,0,0,0,,2017/4/4,0,0,0
2019/4/5,0,0,0,,2018/4/5,0,0,0,,2017/4/5,0,0,0
2019/4/6,0,0,0,,2018/4/6,0,0,0,,2017/4/6,0,0,0
2019/4/7,0,0,0,,2018/4/7,0,0,0,,2017/4/7,0,0,0
2019/4/8,0,0,0,,2018/4/8,0,0,0,,2017/4/8,0,0,0
2019/4/9,0,0,0,,2018/4/9,0,0,0,,2017/4/9,0,0,0
2019/4/10,0,0,0,,2018/4/10,0,0,0,,2017/4/10,0,0,0
2019/4/11,0,0,0,,2018/4/11,0,0,0,,2017/4/11,0,0,0
2019/4/12,0,0,0,,2018/4/12,0,0,0,,2017/4/12,0,0,0
2019/4/13,0,0,0,,2018/4/13,0,0,0,,2017/4/13,0,0,0
2019/4/14,0,0,0,,2018/4/14,0,0,0,,2017/4/14,0,0,0
2019/4/15,0,0,0,,2018/4/15,0,0,0,,2017/4/15,0,0,0
2019/4/16,0,0,0,,2018/4/16,0,0,0,,2017/4/16,0,0,0
2019/4/17,0,0,0,,2018/4/17,0,0,0,,2017/4/17,0,0,0
2019/4/18,0,0,0,,2018/4/18,0,0,0,,2017/4/18,0,0,0
2019/4/19,0,0,0,,2018/4/19,0,0,0,,2017/4/19,0,0,0
2019/4/20,0,0,0,,2018/4/20,0,0,0,,2017/4/20,0,0,0
2019/4/21,0,0,0,,2018/4/21,0,0,0,,2017/4/21,0,0,0
2019/4/22,0,0,0,,2018/4/22,0,0,0,,2017/4/22,0,0,0
2019/4/23,0,0,0,,2018/4/23,0,0,0,,2017/4/23,0,0,0
2019/4/24,0,0,0,,2018/4/24,0,0,0,,2017/4/24,0,0,0
2019/4/25,0,0,0,,2018/4/25,0,0,0,,2017/4/25,0,0,0
2019/4/26,0,0,0,,2018/4/26,0,0,0,,2017/4/26,0,0,0
2019/4/27,0,0,0,,2018/4/27,0,0,0,,2017/4/27,0,0,0
2019/4/28,0,0,0,,2018/4/28,0,0,0,,2017/4/28,0,0,0
2019/4/29,0,0,0,,2018/4/29,0,0,0,,2017/4/29,0,0,0
2019/4/30,0,0,0,,2018/4/30,0,0,0,,2017/4/30,0,0,0
2019/5/1,0,0,0,,2018/5/1,0,0,0,,2017/5/1,0,0,0
2019/5/2,0,0,0,,2018/5/2,0,0,0,,2017/5/2,0,0,0
2019/5/3,0,0,0,,2018/5/3,0,0,0,,2017/5/3,0,0,0
2019/5/4,0,0,0,,2018/5/4,0,0,0,,2017/5/4,0,0,0
2019/5/5,0,0,0,,2018/5/5,0,0,0,,2017/5/5,0,0,0
2019/5/6,0,0,0,,2018/5/6,0,0,0,,2017/5/6,0,0,0
2019/5/7,0,0,0,,2018/5/7,0,0,0,,2017/5/7,0,0,0
2019/5/8,0,0,0,,2018/5/8,0,0,0,,2017/5/8,0,0,0
2019/5/9,0,0,0,,2018/5/9,0,0,0,,2017/5/9,0,0,0
2019/5/10,0,0,0,,2018/5/10,0,0,0,,2017/5/10,0,0,0
2019/5/11,0,0,0,,2018/5/11,0,0,0,,2017/5/11,0,0,0
2019/5/12,0,0,0,,2018/5/12,0,0,0,,2017/5/12,0,0,0
2019/5/13,0,0,0,,2018/5/13,0,0,0,,2017/5/13,0,0,0
2019/5/14,0,0,0,,2018/5/14,0,0,0,,2017/5/14,0,0,0
2019/5/15,0,0,0,,2018/5/15,0,0,0,,2017/5/15,0,0,0
2019/5/16,0,0,0,,2018/5/16,0,0,0,,2017/5/16,0,0,0
2019/5/17,0,0,0,,2018/5/17,0,0,0,,2017/5/17,0,0,0
2019/5/18,0,0,0,,2018/5/18,0,0,0,,2017/5/18,0,0,0
2019/5/19,0,0,0,,2018/5/19,0,0,0,,2017/5/19,0,0,0
2019/5/20,0,0,0,,2018/5/20,0,0,0,,2017/5/20,0,0,0
2019/5/21,0,0,0,,2018/5/21,0,0,0,,2017/5/21,0,0,0
2019/5/22,0,0,0,,2018/5/22,0,0,0,,2017/5/22,0,0,0
2019/5/23,0,0,0,,2018/5/23,0,0,0,,2017/5/23,0,0,0
2019/5/24,0,0,0,,2018/5/24,0,0,0,,2017/5/24,0,0,0
2019/5/25,0,0,0,,2018/5/25,0,0,0,,2017/5/25,0,0,0
2019/5/26,0,0,0,,2018/5/26,0,0,0,,2017/5/26,0,0,0
2019/5/27,0,0,0,,2018/5/27,0,0,0,,2017/5/27,0,0,0
2019/5/28,0,0,0,,2018/5/28,0,0,0,,2017/5/28,0,0,0
2019/5/29,0,0,0,,2018/5/29,0,0,0,,2017/5/29,0,0,0
2019/5/30,0,0,0,,2018/5/30,0,0,0,,2017/5/30,0,0,0
2019/5/31,0,0,0,,2018/5/31,0,0,0,,2017/5/31,0,0,0
